term,word,score,
ㅋㅋ,adjective,0.03574,
ㅋㅋㅋ,adjective,0.02129,
ㅎㅎ,adjective,0.05575,
ㅎㅎㅎ,adjective,0.01818,
가까워다,adjective,-0.0147 ,
가깝다,adjective,-0.0408 ,
가꾸다,adjective,0.0790 ,
가냘프다,adjective,0.0230 ,
가녀리다,adjective,-0.0379 ,
가누다,adjective,0.0412 ,
가느다랗다,adjective,0.0593 ,
가늘다,adjective,0.0908 ,
가다,adjective,0.2009 ,
가다듬다,adjective,-0.0188 ,
가두다,adjective,0.0419 ,
가득차다,adjective,-0.0332 ,
가라다,adjective,0.0847 ,
가라사대다,adjective,0.1089 ,
가라앉다,adjective,-0.0241 ,
가라앉히다,adjective,0.0956 ,
가려내다,adjective,-0.0716 ,
가려먹다,adjective,0.0726 ,
가려보다,adjective,0.0605 ,
가려뽑다,adjective,0.0363 ,
가렵다,adjective,0.1162 ,
가로놓이다,adjective,0.0605 ,
가로다,adjective,0.0968 ,
가로막다,adjective,-0.0155 ,
가로막히다,adjective,-0.0337 ,
가로젓다,adjective,0.0847 ,
가로지르다,adjective,0.1150 ,
가로채다,adjective,0.0545 ,
가르다,adjective,0.0443 ,
가르치다,adjective,0.4200 ,
가르키다,adjective,0.0442 ,
가리다,adjective,-0.1344 ,
가리우다,adjective,0.0133 ,
가리치다,adjective,-0.0421 ,
가리키다,adjective,-0.0184 ,
가만두다,adjective,0.0194 ,
가만있다,adjective,0.0242 ,
가물거리다,adjective,0.0157 ,
가물다,adjective,-0.0789 ,
가버리다,adjective,0.0726 ,
가볍다,adjective,-0.7577 ,
가빠지다,adjective,0.1089 ,
가쁘다,adjective,0.0142 ,
가소롭다,adjective,-0.0116 ,
가시다,adjective,0.0320 ,
가열차다,adjective,-0.0189 ,
가엽다,adjective,0.0823 ,
가엾다,adjective,-0.1021 ,
가위눌리다,adjective,-0.0421 ,
가이다,adjective,0.0363 ,
가져가다,adjective,0.0656 ,
가져다주다,adjective,-0.0301 ,
가져오다,adjective,-0.1434 ,
가지가다,adjective,-0.0421 ,
가지다,adjective,0.3349 ,
가쿠다,adjective,0.0145 ,
가파르다,adjective,0.0642 ,
가프다,adjective,-0.0421 ,
가하다,adjective,-0.0203 ,
각다,adjective,0.0230 ,
각지다,adjective,-0.0421 ,
간다,adjective,0.0169 ,
간지럽다,adjective,0.0763 ,
간지럽히다,adjective,-0.0147 ,
간지르다,adjective,-0.0147 ,
간질거리다,adjective,-0.0116 ,
간질다,adjective,0.0242 ,
간질이다,adjective,0.0133 ,
간추리다,adjective,-0.0124 ,
갇히다,adjective,0.1219 ,
갈고닦다,adjective,-0.0305 ,
갈구다,adjective,-0.0116 ,
갈기다,adjective,-0.0337 ,
갈다,adjective,0.2993 ,
갈라놓다,adjective,-0.0484 ,
갈라서다,adjective,-0.0147 ,
갈라지다,adjective,-0.0169 ,
갈라치다,adjective,0.0484 ,
갈리다,adjective,-0.0478 ,
갈아끼우다,adjective,0.0242 ,
갈아먹다,adjective,0.0484 ,
갈아엎다,adjective,-0.0263 ,
갈아입다,adjective,0.1162 ,
갈아입히다,adjective,0.1089 ,
갈아주다,adjective,0.0254 ,
갈아치우다,adjective,0.0121 ,
갈아타다,adjective,0.0654 ,
갈치다,adjective,0.0242 ,
갈키다,adjective,-0.0147 ,
갉다,adjective,0.0448 ,
갉아먹다,adjective,-0.1021 ,
감기다,adjective,0.0847 ,
감다,adjective,-0.0783 ,
감돌다,adjective,-0.0905 ,
감명깊다,adjective,-0.0181 ,
감싸다,adjective,0.0500 ,
감싸안다,adjective,0.0569 ,
감싸이다,adjective,0.0726 ,
감질나다,adjective,-0.0221 ,
감쪽같다,adjective,-0.0421 ,
감추다,adjective,-0.1212 ,
감치다,adjective,0.0242 ,
감하다,adjective,-0.0189 ,
